feature,from,to,ks,psi,mean_from,mean_to,median_from,median_to,missing_from,missing_to
cur_p_succ,2022,2023,0.14482065800116573,0.11883927126061092,0.5192331363323262,0.4968077071733461,0.5144966453400581,0.49321266968325794,0.15739154328570504,0.13798187557275227
cur_p_succ,2023,2024,0.08569741745582338,0.054305996776108346,0.4968077071733461,0.4901047721797375,0.49321266968325794,0.48905109489051096,0.13798187557275227,0.1986059556540845
cur_p_succ,2022,2024,0.2003085108956117,0.1870634242457666,0.5192331363323262,0.4901047721797375,0.5144966453400581,0.48905109489051096,0.15739154328570504,0.1986059556540845
cur_p_mid,2022,2023,0.06141775530652405,0.05068986171676087,0.15275179795638896,0.1546900835580155,0.1536723163841808,0.1527777777777778,0.15739154328570504,0.13798187557275227
cur_p_mid,2023,2024,0.2630510063669129,0.39729467203238844,0.1546900835580155,0.169959120572581,0.1527777777777778,0.17663149667839,0.13798187557275227,0.1986059556540845
cur_p_mid,2022,2024,0.28748068294059265,0.4828162646401937,0.15275179795638896,0.169959120572581,0.1536723163841808,0.17663149667839,0.15739154328570504,0.1986059556540845
cur_p_ball,2022,2023,0.09362780762123063,0.08080162652590324,0.35815953678492135,0.36661722878224995,0.3575883575883576,0.36593591905564926,0.15739154328570504,0.13798187557275227
cur_p_ball,2023,2024,0.03619246729949567,0.037641015468985684,0.36661722878224995,0.36622114833883224,0.36593591905564926,0.3653543307086614,0.13798187557275227,0.1986059556540845
cur_p_ball,2022,2024,0.11095959821331197,0.0721621265178784,0.35815953678492135,0.36622114833883224,0.3575883575883576,0.3653543307086614,0.15739154328570504,0.1986059556540845
cur_p_rev,2022,2023,0.10253666823513774,0.07760820503759863,0.24299081387065843,0.26135191764433485,0.24509803921568626,0.2581796549672814,0.15739154328570504,0.13798187557275227
cur_p_rev,2023,2024,0.07196785480522117,0.03602111377898905,0.26135191764433485,0.24949834065412974,0.2581796549672814,0.25,0.13798187557275227,0.1986059556540845
cur_p_rev,2022,2024,0.05362683802515998,0.04326849967409053,0.24299081387065843,0.24949834065412974,0.24509803921568626,0.25,0.15739154328570504,0.1986059556540845
cur_p_strk,2022,2023,0.07868198911784874,0.06104121672074184,0.4505663041817483,0.4434593464552321,0.45276444039898356,0.4466834592779177,0.15739154328570504,0.13798187557275227
cur_p_strk,2023,2024,0.05510366055918381,0.04341186144129837,0.4434593464552321,0.4443827568048402,0.4466834592779177,0.4453004622496148,0.13798187557275227,0.1986059556540845
cur_p_strk,2022,2024,0.0902760344588528,0.07713223519472087,0.4505663041817483,0.4443827568048402,0.45276444039898356,0.4453004622496148,0.15739154328570504,0.1986059556540845
cur_p_n,2022,2023,0.027327317380175686,0.006271476792932138,725.9113378924046,692.0359844457989,523.0,516.0,0.15739154328570504,0.13798187557275227
cur_p_n,2023,2024,0.026180405055764133,0.003930725862897245,692.0359844457989,662.9764125635586,516.0,490.0,0.13798187557275227,0.1986059556540845
cur_p_n,2022,2024,0.049518814090657726,0.016156563114996074,725.9113378924046,662.9764125635586,523.0,490.0,0.15739154328570504,0.1986059556540845
cur_mix_fb,2022,2023,0.06148087679117242,0.050355978237247224,0.5421377769950075,0.5299939720670257,0.5234196390482575,0.5089285714285714,0.15739154328570504,0.13798187557275227
cur_mix_fb,2023,2024,0.08267621375955567,0.12383879412120938,0.5299939720670257,0.5220995081442222,0.5089285714285714,0.5184439973172368,0.13798187557275227,0.1986059556540845
cur_mix_fb,2022,2024,0.10553744827278128,0.14301843846767773,0.5421377769950075,0.5220995081442222,0.5234196390482575,0.5184439973172368,0.15739154328570504,0.1986059556540845
cur_mix_br,2022,2023,0.0488883021833858,0.03854498917711751,0.30031692475503247,0.30236881202900406,0.2999084229885135,0.2988505747126437,0.15739154328570504,0.13798187557275227
cur_mix_br,2023,2024,0.058586584225931104,0.036410648310248594,0.30236881202900406,0.3082310053820689,0.2988505747126437,0.3202247191011236,0.13798187557275227,0.1986059556540845
cur_mix_br,2022,2024,0.07375677330637442,0.06395183451458167,0.30031692475503247,0.3082310053820689,0.2999084229885135,0.3202247191011236,0.15739154328570504,0.1986059556540845
cur_mix_off,2022,2023,0.05699267794099849,0.028436175288054217,0.1575452982499602,0.1676372159039702,0.1320754716981132,0.14086294416243655,0.15739154328570504,0.13798187557275227
cur_mix_off,2023,2024,0.06294579419076873,0.052107936837256105,0.1676372159039702,0.16966948647370864,0.14086294416243655,0.1532567049808429,0.13798187557275227,0.1986059556540845
cur_mix_off,2022,2024,0.08049823683106344,0.05476995880569627,0.1575452982499602,0.16966948647370864,0.1320754716981132,0.1532567049808429,0.15739154328570504,0.1986059556540845
cur_mix_n,2022,2023,0.027327317380175686,0.006271476792932138,725.9113378924046,692.0359844457989,523.0,516.0,0.15739154328570504,0.13798187557275227
cur_mix_n,2023,2024,0.026180405055764133,0.003930725862897245,692.0359844457989,662.9764125635586,516.0,490.0,0.13798187557275227,0.1986059556540845
cur_mix_n,2022,2024,0.049518814090657726,0.016156563114996074,725.9113378924046,662.9764125635586,523.0,490.0,0.15739154328570504,0.1986059556540845
cur_b_succ,2022,2023,0.22891922165428863,0.28408424256660136,0.5230852682957979,0.4954030276337132,0.5114754098360655,0.49635036496350365,0.11022661149544191,0.09404744934324406
cur_b_succ,2023,2024,0.06737763108148836,0.035019893459753294,0.4954030276337132,0.4927039918099961,0.49635036496350365,0.4921259842519685,0.09404744934324406,0.09304674032669709
cur_b_succ,2022,2024,0.2800876467463336,0.40767714748807377,0.5230852682957979,0.4927039918099961,0.5114754098360655,0.4921259842519685,0.11022661149544191,0.09304674032669709
cur_b_mid,2022,2023,0.11128564575237654,0.12247195015397958,0.15479148142181096,0.15646713686334543,0.15392061955469508,0.15716226486093637,0.11022661149544191,0.09404744934324406
cur_b_mid,2023,2024,0.2967556680139019,0.5522585791944625,0.15646713686334543,0.17080013385472945,0.15716226486093637,0.1784351145038168,0.09404744934324406,0.09304674032669709
cur_b_mid,2022,2024,0.40745385425762376,1.0874257932384983,0.15479148142181096,0.17080013385472945,0.15392061955469508,0.1784351145038168,0.11022661149544191,0.09304674032669709
cur_b_n,2022,2023,0.0245523620420377,0.003993128389615875,734.4406841239997,703.425784727155,598.0,567.0,0.11022661149544191,0.09404744934324406
cur_b_n,2023,2024,0.04938854073263388,0.015788934056583576,703.425784727155,769.9455068959069,567.0,631.0,0.09404744934324406,0.09304674032669709
cur_b_n,2022,2024,0.024999030431209657,0.004893909144335699,734.4406841239997,769.9455068959069,598.0,631.0,0.11022661149544191,0.09304674032669709
